gameid,startTime,endTime,homeTeam,homeShots,awayTeam,awayShots
2018020001,"2018-10-04T01:51:27Z","2018-10-04T01:53:22Z","TOR",1,"MTL",0
2018020007,"2018-10-05T01:52:03Z","2018-10-05T01:54:50Z","PIT",2,"WSH",0
2018020008,"2018-10-05T01:48:22Z","2018-10-05T01:49:42Z","CAR",0,"NYI",2
2018020009,"2018-10-05T02:24:29Z","2018-10-05T02:26:22Z","OTT",0,"CHI",2
2018020010,"2018-10-05T02:22:18Z","2018-10-05T02:25:47Z","DET",3,"CBJ",1
2018020016,"2018-10-06T05:18:36Z","2018-10-06T05:23:09Z","LAK",0,"SJS",2
2018020019,"2018-10-07T01:36:56Z","2018-10-07T01:45:06Z","TBL",3,"FLA",4
2018020024,"2018-10-07T02:41:38Z","2018-10-07T02:46:04Z","STL",0,"CHI",2
2018020025,"2018-10-07T02:48:09Z","2018-10-07T02:58:16Z","MIN",3,"VGK",4
2018020030,"2018-10-08T01:50:59Z","2018-10-08T01:51:31Z","CHI",0,"TOR",1
2018020035,"2018-10-09T04:46:59Z","2018-10-09T04:53:49Z","ANA",3,"DET",0
2018020044,"2018-10-11T04:28:47Z","2018-10-11T04:34:52Z","ANA",1,"ARI",1
2018020049,"2018-10-12T01:38:19Z","2018-10-12T01:39:41Z","NYR",1,"SJS",0
2018020056,"2018-10-12T02:45:06Z","2018-10-12T02:50:47Z","MIN",3,"CHI",2
2018020060,"2018-10-14T00:59:48Z","2018-10-14T01:03:17Z","MIN",0,"CAR",3
2018020062,"2018-10-14T01:59:26Z","2018-10-14T02:06:58Z","MTL",2,"PIT",3
2018020068,"2018-10-14T03:20:07Z","2018-10-14T03:27:11Z","CHI",5,"STL",4
2018020070,"2018-10-14T04:42:45Z","2018-10-14T04:44:28Z","COL",0,"CGY",2
2018020079,"2018-10-17T01:36:04Z","2018-10-17T01:46:23Z","NYR",4,"COL",1
2018020080,"2018-10-17T01:45:02Z","2018-10-17T01:53:34Z","PHI",3,"FLA",0
2018020081,"2018-10-17T01:30:57Z","2018-10-17T01:32:02Z","PIT",1,"VAN",1
2018020084,"2018-10-17T02:34:58Z","2018-10-17T02:37:12Z","WPG",0,"EDM",1
2018020087,"2018-10-18T01:39:32Z","2018-10-18T01:44:49Z","WSH",2,"NYR",0
2018020096,"2018-10-19T03:38:43Z","2018-10-19T03:39:33Z","EDM",1,"BOS",0
2018020099,"2018-10-20T01:52:26Z","2018-10-20T01:58:03Z","WSH",2,"FLA",3
2018020107,"2018-10-21T01:48:04Z","2018-10-21T01:52:20Z","OTT",4,"MTL",1
2018020108,"2018-10-21T01:49:58Z","2018-10-21T01:54:31Z","FLA",2,"DET",3
2018020110,"2018-10-21T02:46:18Z","2018-10-21T02:50:54Z","MIN",1,"TBL",3
2018020112,"2018-10-21T04:36:07Z","2018-10-21T04:39:34Z","VAN",1,"BOS",1
2018020120,"2018-10-23T02:39:56Z","2018-10-23T02:44:50Z","WPG",3,"STL",4
2018020129,"2018-10-24T03:47:01Z","2018-10-24T03:49:36Z","EDM",1,"PIT",2
2018020130,"2018-10-25T01:48:49Z","2018-10-25T01:50:43Z","NYI",0,"FLA",2
2018020133,"2018-10-25T04:35:19Z","2018-10-25T04:41:34Z","VGK",4,"VAN",5
2018020136,"2018-10-26T01:47:01Z","2018-10-26T01:51:39Z","NJD",1,"NSH",4
2018020146,"2018-10-27T02:09:13Z","2018-10-27T02:16:04Z","CAR",6,"SJS",2
2018020151,"2018-10-27T22:40:25Z","2018-10-27T22:46:59Z","CGY",4,"WSH",1
2018020154,"2018-10-28T01:43:34Z","2018-10-28T01:46:29Z","CBJ",1,"BUF",0
2018020162,"2018-10-29T00:32:48Z","2018-10-29T00:33:54Z","CHI",0,"EDM",1
2018020163,"2018-10-29T02:44:21Z","2018-10-29T02:49:08Z","VGK",1,"OTT",0
2018020164,"2018-10-29T02:41:56Z","2018-10-29T02:46:54Z","ANA",0,"SJS",5
2018020167,"2018-10-31T01:40:56Z","2018-10-31T01:45:51Z","BUF",2,"CGY",2
2018020177,"2018-10-31T05:03:27Z","2018-10-31T05:11:51Z","SJS",2,"NYR",3
2018020181,"2018-11-02T01:39:52Z","2018-11-02T01:45:51Z","NYI",2,"PIT",3
2018020189,"2018-11-02T04:32:39Z","2018-11-02T17:23:20Z","ANA",1,"NYR",3
2018020193,"2018-11-03T04:45:55Z","2018-11-03T04:52:41Z","VAN",7,"COL",0
2018020194,"2018-11-03T04:36:14Z","2018-11-03T04:37:56Z","ARI",1,"CAR",1
2018020200,"2018-11-04T02:41:09Z","2018-11-04T02:48:13Z","WSH",1,"DAL",7
2018020206,"2018-11-04T05:05:10Z","2018-11-04T05:07:21Z","SJS",1,"PHI",0
2018020207,"2018-11-05T02:36:14Z","2018-11-05T02:39:14Z","OTT",0,"TBL",2
2018020209,"2018-11-05T04:39:22Z","2018-11-05T04:41:38Z","ANA",1,"CBJ",1
2018020210,"2018-11-06T02:36:28Z","2018-11-06T02:45:41Z","BOS",3,"DAL",2
2018020211,"2018-11-06T02:34:09Z","2018-11-06T02:40:22Z","NYI",3,"MTL",2
2018020219,"2018-11-07T03:13:00Z","2018-11-07T03:20:26Z","DET",1,"VAN",4
2018020229,"2018-11-09T02:33:24Z","2018-11-09T02:36:01Z","PHI",2,"ARI",0
