gameid,startTime,endTime,homeTeam,homeShots,awayTeam,awayShots
2015020331,"2015-11-27T23:08:56Z","2015-11-27T23:18:08Z","PHI",6,"NSH",1
2015020333,"2015-11-28T00:51:19Z","2015-11-28T00:53:31Z","ANA",0,"CHI",2
2015020336,"2015-11-28T02:34:53Z","2015-11-28T02:47:16Z","NJD",1,"MTL",5
2015020337,"2015-11-28T02:44:40Z","2015-11-28T02:50:36Z","CBJ",6,"PIT",1
2015020338,"2015-11-28T03:03:55Z","2015-11-28T03:04:43Z","DET",1,"EDM",0
2015020339,"2015-11-28T03:00:56Z","2015-11-28T03:07:07Z","FLA",4,"NYI",1
2015020340,"2015-11-28T04:06:51Z","2015-11-28T04:13:55Z","DAL",6,"VAN",2
2015020341,"2015-11-28T04:34:52Z","2015-11-28T04:40:45Z","ARI",3,"CGY",1
2015020344,"2015-11-29T02:49:32Z","2015-11-29T02:54:04Z","MTL",2,"NJD",2
2015020346,"2015-11-29T02:48:01Z","2015-11-29T02:56:50Z","PIT",5,"EDM",3
2015020349,"2015-11-29T03:39:23Z","2015-11-29T03:44:46Z","MIN",2,"DAL",2
2015020353,"2015-11-29T06:03:40Z","2015-11-29T06:07:12Z","LAK",5,"CHI",3
2015020354,"2015-11-29T21:44:44Z","2015-11-29T21:46:36Z","DET",1,"FLA",1
2015020362,"2015-12-02T03:13:20Z","2015-12-02T03:20:54Z","DET",1,"BUF",2
2015020366,"2015-12-02T04:29:47Z","2015-12-02T04:37:48Z","CGY",0,"DAL",4
2015020367,"2015-12-02T06:05:08Z","2015-12-02T06:08:18Z","LAK",3,"VAN",0
2015020370,"2015-12-03T03:32:34Z","2015-12-03T03:42:16Z","NYI",3,"NYR",6
2015020371,"2015-12-03T05:09:41Z","2015-12-03T05:19:30Z","EDM",3,"BOS",4
2015020376,"2015-12-04T03:16:57Z","2015-12-04T03:18:48Z","OTT",1,"CHI",0
2015020382,"2015-12-05T02:36:28Z","2015-12-05T02:41:22Z","NJD",0,"PHI",2
2015020383,"2015-12-05T02:34:50Z","2015-12-05T02:42:03Z","CBJ",0,"FLA",2
2015020384,"2015-12-05T03:00:14Z","2015-12-05T03:08:23Z","NYI",3,"STL",5
2015020385,"2015-12-05T04:43:20Z","2015-12-05T04:50:34Z","CGY",2,"BOS",5
2015020386,"2015-12-05T04:28:43Z","2015-12-05T04:31:02Z","EDM",2,"DAL",1
2015020388,"2015-12-05T22:44:52Z","2015-12-05T23:00:48Z","WPG",2,"WSH",6
2015020390,"2015-12-06T02:46:28Z","2015-12-06T02:51:52Z","OTT",4,"NYI",1
2015020391,"2015-12-06T02:44:58Z","2015-12-06T02:47:55Z","DET",2,"NSH",1
2015020406,"2015-12-08T04:49:16Z","2015-12-08T04:54:18Z","COL",4,"MIN",3
2015020408,"2015-12-09T02:38:18Z","2015-12-09T02:46:38Z","PHI",1,"NYI",1
2015020410,"2015-12-09T02:36:34Z","2015-12-09T02:44:52Z","CBJ",2,"LAK",2
2015020411,"2015-12-09T03:07:09Z","2015-12-09T03:15:13Z","TOR",4,"NJD",2
2015020419,"2015-12-10T05:10:30Z","2015-12-10T05:17:07Z","EDM",1,"SJS",1
2015020428,"2015-12-12T02:34:01Z","2015-12-12T02:41:19Z","NJD",2,"DET",4
2015020429,"2015-12-12T02:47:14Z","2015-12-12T02:54:36Z","PIT",3,"LAK",2
2015020433,"2015-12-12T04:43:07Z","2015-12-12T04:45:38Z","ARI",1,"MIN",0
2015020436,"2015-12-13T02:36:44Z","2015-12-13T02:42:10Z","BUF",1,"LAK",3
2015020439,"2015-12-13T02:33:56Z","2015-12-13T02:36:32Z","CBJ",2,"NYI",1
2015020442,"2015-12-13T04:35:27Z","2015-12-13T04:42:38Z","ARI",1,"CAR",1
2015020448,"2015-12-15T02:44:45Z","2015-12-15T02:46:07Z","BOS",0,"EDM",2
2015020456,"2015-12-16T02:34:38Z","2015-12-16T02:37:21Z","PHI",2,"CAR",1
2015020457,"2015-12-16T03:08:16Z","2015-12-16T03:14:23Z","TOR",1,"TBL",1
2015020459,"2015-12-16T03:31:32Z","2015-12-16T03:33:25Z","NSH",1,"CGY",2
2015020469,"2015-12-18T03:13:53Z","2015-12-18T03:18:28Z","TOR",0,"SJS",2
2015020481,"2015-12-19T03:07:31Z","2015-12-19T03:14:17Z","DET",4,"VAN",1
