gameid,startTime,endTime,homeTeam,homeShots,awayTeam,awayShots
2016020001,"2016-10-13T01:53:06Z","2016-10-13T01:54:15Z","OTT",1,"TOR",0
2016020007,"2016-10-14T02:56:48Z","2016-10-14T03:05:01Z","PIT",2,"WSH",6
2016020010,"2016-10-14T02:22:41Z","2016-10-14T02:26:16Z","FLA",2,"NJD",0
2016020012,"2016-10-14T02:46:34Z","2016-10-14T02:50:25Z","WPG",1,"CAR",1
2016020018,"2016-10-16T01:46:00Z","2016-10-16T01:52:44Z","OTT",4,"MTL",2
2016020028,"2016-10-16T03:50:06Z","2016-10-16T03:54:18Z","ARI",2,"PHI",5
2016020029,"2016-10-16T04:41:55Z","2016-10-16T04:49:42Z","VAN",3,"CGY",0
2016020030,"2016-10-17T00:45:46Z","2016-10-17T00:47:38Z","NYI",2,"ANA",0
2016020032,"2016-10-17T04:31:53Z","2016-10-17T04:33:12Z","VAN",1,"CAR",0
2016020034,"2016-10-18T01:48:31Z","2016-10-18T01:49:47Z","PIT",0,"COL",1
2016020042,"2016-10-19T02:11:04Z","2016-10-19T02:20:16Z","TBL",0,"FLA",2
2016020046,"2016-10-19T03:38:44Z","2016-10-19T03:42:58Z","CGY",5,"BUF",2
2016020048,"2016-10-19T04:33:12Z","2016-10-19T04:35:25Z","VAN",1,"STL",2
2016020050,"2016-10-20T02:47:46Z","2016-10-20T02:51:21Z","WPG",1,"TOR",4
2016020058,"2016-10-21T03:18:28Z","2016-10-21T03:22:27Z","DAL",0,"LAK",1
2016020069,"2016-10-23T01:39:45Z","2016-10-23T01:43:24Z","NJD",1,"MIN",0
2016020072,"2016-10-23T01:52:31Z","2016-10-23T02:01:54Z","CHI",5,"TOR",1
2016020076,"2016-10-23T04:46:08Z","2016-10-23T04:56:45Z","LAK",3,"VAN",0
2016020082,"2016-10-25T03:13:22Z","2016-10-25T03:22:08Z","CHI",6,"CGY",1
2016020085,"2016-10-26T02:18:07Z","2016-10-26T02:25:59Z","PHI",3,"BUF",1
2016020092,"2016-10-26T04:59:17Z","2016-10-26T05:01:52Z","LAK",1,"CBJ",0
2016020093,"2016-10-26T04:49:06Z","2016-10-26T04:51:43Z","SJS",1,"ANA",0
2016020103,"2016-10-28T02:33:22Z","2016-10-28T02:43:35Z","STL",2,"DET",3
2016020105,"2016-10-28T05:18:42Z","2016-10-28T05:27:07Z","LAK",5,"NSH",1
2016020107,"2016-10-29T02:10:28Z","2016-10-29T02:12:53Z","NJD",0,"CHI",3
2016020133,"2016-11-02T01:33:41Z","2016-11-02T01:34:37Z","CBJ",1,"DAL",0
2016020134,"2016-11-02T02:09:34Z","2016-11-02T02:10:45Z","TOR",1,"EDM",0
2016020135,"2016-11-02T02:17:28Z","2016-11-02T02:23:05Z","OTT",4,"CAR",3
2016020144,"2016-11-03T02:39:15Z","2016-11-03T02:42:44Z","PHI",1,"DET",0
2016020147,"2016-11-04T01:42:36Z","2016-11-04T01:50:49Z","NYI",1,"PHI",6
