gameid,startTime,endTime,homeTeam,homeShots,awayTeam,awayShots
2017020002,"2017-10-05T02:58:40Z","2017-10-05T03:00:29Z","PIT",0,"STL",1
2017020006,"2017-10-06T01:49:29Z","2017-10-06T01:56:02Z","BUF",4,"MTL",3
2017020008,"2017-10-06T02:23:09Z","2017-10-06T02:31:51Z","OTT",6,"WSH",3
2017020017,"2017-10-08T01:48:02Z","2017-10-08T01:55:02Z","OTT",2,"DET",2
2017020023,"2017-10-08T01:57:20Z","2017-10-08T02:03:47Z","CAR",1,"MIN",0
2017020026,"2017-10-08T03:44:37Z","2017-10-08T03:49:26Z","ARI",2,"VGK",2
2017020029,"2017-10-08T04:35:44Z","2017-10-08T04:37:08Z","ANA",0,"PHI",1
2017020033,"2017-10-09T19:34:35Z","2017-10-09T19:42:14Z","NYI",3,"STL",4
2017020035,"2017-10-10T01:39:30Z","2017-10-10T01:47:25Z","TOR",3,"CHI",0
2017020036,"2017-10-10T02:15:06Z","2017-10-10T02:24:36Z","TBL",5,"WSH",1
2017020040,"2017-10-11T01:36:32Z","2017-10-11T01:45:23Z","CAR",7,"CBJ",1
2017020044,"2017-10-11T04:37:51Z","2017-10-11T04:43:15Z","VAN",2,"OTT",2
2017020050,"2017-10-12T05:14:02Z","2017-10-12T05:17:00Z","LAK",0,"CGY",1
2017020063,"2017-10-15T01:55:29Z","2017-10-15T01:56:35Z","MTL",1,"TOR",1
2017020070,"2017-10-15T02:48:30Z","2017-10-15T02:52:11Z","MIN",0,"CBJ",2
2017020071,"2017-10-15T03:12:19Z","2017-10-15T03:16:09Z","CHI",4,"NSH",0
2017020081,"2017-10-18T02:11:14Z","2017-10-18T02:19:17Z","NJD",2,"TBL",2
2017020082,"2017-10-18T01:42:35Z","2017-10-18T01:44:55Z","NYR",0,"PIT",1
2017020090,"2017-10-18T04:48:35Z","2017-10-18T04:55:12Z","VGK",4,"BUF",0
2017020096,"2017-10-20T01:42:22Z","2017-10-20T01:50:59Z","NYR",4,"NYI",2
2017020099,"2017-10-20T02:24:29Z","2017-10-20T02:26:58Z","OTT",0,"NJD",1
