gameid,startTime,endTime,homeTeam,homeShots,awayTeam,awayShots
2019020002,"2019-10-03T02:48:40Z","2019-10-03T02:54:00Z","STL",0,"WSH",4
2019020008,"2019-10-04T01:45:08Z","2019-10-04T01:51:11Z","CAR",1,"MTL",3
2019020013,"2019-10-05T01:36:50Z","2019-10-05T01:42:26Z","NJD",1,"WPG",3
2019020019,"2019-10-06T01:53:00Z","2019-10-06T02:02:56Z","TOR",4,"MTL",9
2019020023,"2019-10-06T01:53:12Z","2019-10-06T01:59:17Z","WSH",6,"CAR",1
2019020031,"2019-10-06T23:43:18Z","2019-10-06T23:47:57Z","CAR",3,"TBL",0
2019020035,"2019-10-08T01:38:56Z","2019-10-08T01:42:21Z","CBJ",1,"BUF",0
2019020039,"2019-10-09T01:41:12Z","2019-10-09T01:43:08Z","WSH",0,"DAL",3
2019020042,"2019-10-09T03:39:21Z","2019-10-09T03:41:56Z","CGY",0,"LAK",2
2019020044,"2019-10-10T01:40:41Z","2019-10-10T01:43:17Z","BUF",1,"MTL",0
2019020049,"2019-10-11T01:34:47Z","2019-10-11T01:40:33Z","NJD",3,"EDM",2
2019020055,"2019-10-11T03:08:21Z","2019-10-11T03:17:01Z","DAL",4,"CGY",3
2019020058,"2019-10-12T01:36:54Z","2019-10-12T01:42:58Z","BUF",4,"FLA",2
2019020067,"2019-10-13T01:33:43Z","2019-10-13T01:40:16Z","NYI",3,"FLA",1
2019020069,"2019-10-13T01:39:14Z","2019-10-13T01:40:19Z","CHI",0,"WPG",1
2019020072,"2019-10-13T03:43:19Z","2019-10-13T03:49:36Z","COL",5,"ARI",1
2019020073,"2019-10-13T04:36:27Z","2019-10-13T04:43:09Z","VAN",5,"PHI",1
2019020081,"2019-10-14T19:31:49Z","2019-10-14T19:33:54Z","NYI",1,"STL",0
2019020092,"2019-10-17T01:47:11Z","2019-10-17T01:55:17Z","PIT",1,"COL",1
2019020098,"2019-10-18T01:37:50Z","2019-10-18T01:46:39Z","BOS",5,"TBL",3
2019020101,"2019-10-18T02:37:28Z","2019-10-18T02:43:51Z","STL",2,"VAN",2
2019020105,"2019-10-18T04:46:29Z","2019-10-18T04:54:52Z","VGK",2,"OTT",5
2019020107,"2019-10-19T01:33:40Z","2019-10-19T01:39:19Z","FLA",4,"COL",3
2019020110,"2019-10-19T03:00:52Z","2019-10-19T03:01:58Z","CHI",2,"CBJ",0
2019020115,"2019-10-20T01:41:22Z","2019-10-20T01:47:21Z","TOR",2,"BOS",1
2019020119,"2019-10-20T01:36:09Z","2019-10-20T01:36:47Z","CBJ",0,"NYI",2
2019020121,"2019-10-20T02:29:40Z","2019-10-20T02:37:59Z","NSH",4,"FLA",0
2019020127,"2019-10-21T01:30:27Z","2019-10-21T01:38:20Z","WPG",2,"EDM",4
2019020129,"2019-10-22T01:36:48Z","2019-10-22T01:41:10Z","TOR",0,"CBJ",4
2019020134,"2019-10-23T01:31:39Z","2019-10-23T01:38:30Z","BUF",1,"SJS",0
2019020136,"2019-10-23T01:30:54Z","2019-10-23T01:32:54Z","NYR",0,"ARI",1
2019020141,"2019-10-23T03:03:22Z","2019-10-23T03:13:16Z","CHI",0,"VGK",2
2019020148,"2019-10-25T01:30:31Z","2019-10-25T01:34:41Z","CBJ",4,"CAR",0
2019020153,"2019-10-25T03:33:40Z","2019-10-25T03:42:37Z","CGY",3,"FLA",3
2019020154,"2019-10-25T03:46:17Z","2019-10-25T03:49:09Z","EDM",1,"WSH",0
2019020160,"2019-10-26T04:36:56Z","2019-10-26T04:43:18Z","VAN",2,"WSH",7
2019020164,"2019-10-27T01:36:13Z","2019-10-27T01:43:51Z","TBL",0,"NSH",2
2019020168,"2019-10-27T03:53:09Z","2019-10-27T04:01:36Z","WPG",4,"CGY",0
2019020171,"2019-10-27T23:28:58Z","2019-10-27T23:31:24Z","DET",1,"STL",1
2019020177,"2019-10-29T01:29:36Z","2019-10-29T01:35:22Z","BUF",0,"ARI",1
2019020180,"2019-10-30T01:47:11Z","2019-10-30T02:11:12Z","TOR",0,"WSH",6
2019020188,"2019-10-31T01:38:55Z","2019-10-31T01:41:21Z","NJD",0,"TBL",2
2019020191,"2019-10-31T04:38:11Z","2019-10-31T04:39:12Z","COL",0,"FLA",1
2019020194,"2019-11-01T02:33:56Z","2019-11-01T02:41:22Z","NSH",2,"CGY",4
2019020195,"2019-11-01T04:37:47Z","2019-11-01T04:40:21Z","VGK",0,"MTL",1
2019020196,"2019-11-02T01:50:22Z","2019-11-02T02:00:16Z","NJD",2,"PHI",4
2019020200,"2019-11-02T02:40:28Z","2019-11-02T02:41:36Z","STL",1,"CBJ",0
2019020202,"2019-11-02T04:33:22Z","2019-11-02T04:37:03Z","ANA",3,"VAN",2
2019020204,"2019-11-02T19:37:34Z","2019-11-02T19:40:36Z","PIT",1,"EDM",6
2019020209,"2019-11-03T02:34:07Z","2019-11-03T02:45:48Z","PHI",8,"TOR",2
2019020213,"2019-11-03T03:39:06Z","2019-11-03T03:43:02Z","MIN",0,"STL",1
2019020215,"2019-11-03T05:45:27Z","2019-11-03T05:50:58Z","VGK",2,"WPG",4
2019020217,"2019-11-03T05:08:05Z","2019-11-03T05:16:48Z","LAK",4,"CHI",3
2019020219,"2019-11-04T03:35:10Z","2019-11-04T03:36:24Z","ANA",0,"CHI",1
2019020223,"2019-11-05T04:34:54Z","2019-11-05T04:38:04Z","EDM",0,"ARI",2
2019020229,"2019-11-06T03:35:42Z","2019-11-06T03:44:43Z","WPG",4,"NJD",1
2019020231,"2019-11-06T04:42:05Z","2019-11-06T04:50:15Z","CGY",3,"ARI",5
2019020232,"2019-11-06T05:29:59Z","2019-11-06T05:34:38Z","VAN",1,"STL",3
2019020237,"2019-11-08T02:36:17Z","2019-11-08T02:41:54Z","TOR",2,"VGK",2
2019020238,"2019-11-08T02:37:44Z","2019-11-08T02:38:09Z","FLA",1,"WSH",1
2019020239,"2019-11-08T02:27:52Z","2019-11-08T02:33:52Z","NYI",1,"PIT",2
2019020240,"2019-11-08T02:34:53Z","2019-11-08T02:36:52Z","PHI",1,"MTL",0
2019020242,"2019-11-08T03:04:22Z","2019-11-08T03:09:47Z","OTT",3,"LAK",2
2019020253,"2019-11-10T02:55:22Z","2019-11-10T02:55:13Z","TOR",8,"PHI",1
2019020257,"2019-11-10T02:33:57Z","2019-11-10T02:41:45Z","PIT",5,"CHI",2
2019020261,"2019-11-10T05:43:00Z","2019-11-10T05:49:25Z","CGY",2,"STL",2
2019020262,"2019-11-10T06:01:23Z","2019-11-10T06:09:55Z","SJS",2,"NSH",6
2019020263,"2019-11-10T20:35:38Z","2019-11-10T20:41:44Z","NYR",4,"FLA",2
2019020264,"2019-11-10T21:40:10Z","2019-11-10T21:41:41Z","WPG",1,"DAL",0
2019020267,"2019-11-11T02:37:50Z","2019-11-11T02:46:06Z","BOS",1,"PHI",2
2019020270,"2019-11-12T02:37:25Z","2019-11-12T02:49:02Z","WSH",2,"ARI",3
2019020272,"2019-11-13T02:35:09Z","2019-11-13T02:42:30Z","BOS",6,"FLA",5
2019020273,"2019-11-13T02:39:24Z","2019-11-13T02:46:56Z","MTL",0,"CBJ",3
2019020274,"2019-11-13T03:00:50Z","2019-11-13T03:03:41Z","NYR",1,"PIT",1
2019020275,"2019-11-13T03:34:33Z","2019-11-13T03:42:27Z","STL",4,"ARI",2
2019020278,"2019-11-13T05:46:33Z","2019-11-13T05:49:51Z","ANA",1,"DET",3
2019020283,"2019-11-14T03:07:09Z","2019-11-14T03:16:01Z","PHI",4,"WSH",3
2019020286,"2019-11-15T02:43:03Z","2019-11-15T02:57:05Z","BUF",0,"CAR",3
2019020293,"2019-11-15T06:04:09Z","2019-11-15T06:05:37Z","LAK",1,"DET",0
2019020297,"2019-11-16T02:42:10Z","2019-11-16T02:50:20Z","CBJ",4,"STL",1
2019020299,"2019-11-16T21:39:05Z","2019-11-16T21:41:45Z","MIN",1,"CAR",1
2019020301,"2019-11-16T23:40:58Z","2019-11-16T23:42:42Z","EDM",0,"DAL",1
2019020303,"2019-11-17T02:35:47Z","2019-11-17T02:41:25Z","BOS",2,"WSH",3
2019020305,"2019-11-17T03:02:32Z","2019-11-17T03:06:18Z","MTL",0,"NJD",2
2019020307,"2019-11-17T02:35:10Z","2019-11-17T02:40:29Z","PHI",1,"NYI",3
2019020311,"2019-11-17T05:40:09Z","2019-11-17T05:41:05Z","VAN",0,"COL",1
2019020313,"2019-11-17T05:56:12Z","2019-11-17T06:05:14Z","SJS",0,"DET",5
2019020321,"2019-11-20T02:42:29Z","2019-11-20T02:49:36Z","PIT",0,"NYI",5
2019020331,"2019-11-21T03:17:46Z","2019-11-21T03:19:58Z","MTL",1,"OTT",1
2019020334,"2019-11-22T02:40:52Z","2019-11-22T02:41:27Z","FLA",1,"ANA",0
2019020335,"2019-11-22T02:45:46Z","2019-11-22T02:50:22Z","NYI",1,"PIT",0
2019020344,"2019-11-22T05:38:20Z","2019-11-22T05:44:12Z","VGK",4,"SJS",6
2019020348,"2019-11-23T20:03:25Z","2019-11-23T20:12:20Z","WSH",3,"VAN",5
2019020349,"2019-11-23T20:38:58Z","2019-11-23T20:45:40Z","PHI",3,"CGY",3
2019020351,"2019-11-24T02:44:52Z","2019-11-24T02:50:18Z","BOS",1,"MIN",3
2019020359,"2019-11-24T03:46:45Z","2019-11-24T03:55:54Z","DAL",5,"CHI",2
2019020361,"2019-11-24T05:59:10Z","2019-11-24T06:02:47Z","SJS",2,"NYI",0
2019020364,"2019-11-25T03:32:20Z","2019-11-25T03:39:48Z","ARI",1,"EDM",3
2019020366,"2019-11-26T02:42:00Z","2019-11-26T02:43:16Z","NYR",1,"MIN",0
2019020368,"2019-11-26T02:36:22Z","2019-11-26T02:42:15Z","PIT",4,"CGY",4
2019020370,"2019-11-26T03:37:03Z","2019-11-26T03:42:34Z","NSH",5,"STL",1
2019020373,"2019-11-26T06:05:40Z","2019-11-26T06:09:30Z","LAK",0,"SJS",1
2019020377,"2019-11-28T02:29:04Z","2019-11-28T02:32:55Z","BUF",1,"CGY",1
2019020385,"2019-11-28T03:34:09Z","2019-11-28T03:36:14Z","NSH",0,"VGK",2
2019020386,"2019-11-28T04:59:33Z","2019-11-28T05:08:30Z","ARI",2,"ANA",0
2019020391,"2019-11-29T20:48:30Z","2019-11-29T20:51:21Z","BOS",1,"NYR",0
